design_en,y,id
"Demeter enthroned left, holding ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",26
"Veiled Demeter enthroned left, holding two ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",27
"Veiled Demeter seated left on cista mystica entwined by serpent, wearing corn wreath, holding two ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'seated_on', 'cista', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",28
"Veiled Demeter enthroned left, wearing corn wreath, holding two ears of corn in outstretched right hand, left resting on long torch. Ground line.","[('Demeter', 'PERSON', 'seated_on', 'cista', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",29
"Veiled Demeter seated left on basket, wearing corn wreath and long garment, holding two ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'seated_on', 'basket', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",30
"Veiled Demeter seated left on basket, wearing corn wreath, holding two ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'seated_on', 'basket', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",31
"Veiled Demeter standing facing, head left, holding ears of corn in raised right hand over altar, left resting on long torch.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",32
"Veiled Demeter standing facing, head left, wearing corn wreath and long garment, holding two ears of corn in outstretched right hand, left resting on long torch.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",33
"Demeter standing left, holding ears of corn and poppy in right hand and torch in left arm.","[('Demeter', 'PERSON', 'holding', 'ears', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')]",34
"Veiled Demeter standing facing, head left, holding two ears of corn in right hand over altar and short torch in left arm.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')]",35
"Veiled Demeter standing facing, head left, wearing corn wreath and long garment, holding two ears of corn in right hand, left resting on sceptre. Short ground line. Border of dots.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'resting_on', 'sceptre', 'OBJECT')]",36
"Demeter standing facing, head left, holding ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",37
"Demeter standing facing, head left, holding ears of corn in right hand and short torch in left arm.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')]",38
"Veiled Demeter standing facing, head left, holding ears of corn in raised right hand, left resting on long torch.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",39
"Veiled Demeter standing facing, head left, holding two ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",40
"Head of Dionysus, left, wearing ivy wreath in linear square; all within shallow incuse square.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",41
"Head of Dionysus, left, wearing ivy wreath.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",42
"Head of (youthful) Dionysus, right, wearing ivy wreath and hair falling in long curls on neck and shoulder.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",43
"Head of (youthful) Dionysus, right, wearing ivy wreath and three long curls falling on his neck.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",44
"Head of (youthful) Dionysus, right, wearing ivy wreath with berries.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'berries', 'PLANT')]",45
"Head of (youthful) Dionysus, right, wearing mitra and ivy wreath.","[('Dionysus', 'PERSON', 'wearing', 'mitra', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",46
"Head of Dionysus, right, wearing mitra and ivy wreath.","[('Dionysus', 'PERSON', 'wearing', 'mitra', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",47
"Dionysus seated right, holding an object in left hand and grape vine in right hand, which grows from the background in the right field.","[('Dionysus', 'PERSON', 'holding', 'object', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'grape', 'PLANT'), ('Dionysus', 'PERSON', 'holding', 'vine', 'PLANT')]",48
"Dionysus reclining left on back of panther advancing right, holding thyrsus in right hand.","[('Dionysus', 'PERSON', 'resting_on', 'panther', 'ANIMAL'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')]",49
"Dionysus seated right on panther advancing right, holding long thyrsus in left arm, resting right arm on panther.","[('Dionysus', 'PERSON', 'seated_on', 'panther', 'ANIMAL'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT'), ('Dionysus', 'PERSON', 'resting_on', 'panther', 'ANIMAL')]",50
"Dionysus seated on panther advancing left, holding cantharus in right hand and filleted thyrsus in left arm. Ground line.","[('Dionysus', 'PERSON', 'seated_on', 'panther', 'ANIMAL'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')]",51
"Dionysus standing facing, wearing short chiton and boots, holding cantharus in right hand over panther seated left and long filleted thyrsus in left arm.","[('Dionysus', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')]",52
"Nude youthful Dionysus standing facing, head left, chlamys over left shoulder, holding cantharus in right hand over panther seated left, head right, and filleted thyrsus in left arm.","[('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')]",53
"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, head right, with raised forepaw; pelleted and filleted thyrsus in left arm; at left, star with six rays.","[('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')]",54
"Eros riding right on dolphin, holding reins in both hands; dolphin holding oar. Border of dots.","[('Eros', 'PERSON', 'seated_on', 'dolphin', 'ANIMAL'), ('Eros', 'PERSON', 'holding', 'reins', 'OBJECT'), ('dolphin', 'ANIMAL', 'holding', 'oar', 'OBJECT')]",55
"Eros standing left, removing thorn from raised right paw of a lion standing right. Ground line. Border of dots.","[('Eros', 'PERSON', 'holding', 'thorn', 'PLANT')]",56
"Emperor (Severus Alexander) with Isis (Pharia) and Serapis; in the middle, emperor (Severus Alexander) in military attire standing facing, head left, standing left ongalley, raising right arm, holding sceptre in left hand; to left, Isis (Pharia) standing left, inclining, wearing fluttering garment, holding sail in both hands; to right, bearded Serapis standing facing, head left, wearing kalathos, crowning emperor with laurel wreath in right hand, holding rudder in left hand; hull decorated with octopus to left, fish in the middle and dolphin to right, all swimming left. Border of dots.","[('Severus Alexander', 'PERSON', 'holding', 'sceptre', 'OBJECT'), ('Isis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Isis', 'PERSON', 'holding', 'sail', 'OBJECT'), ('Serapis', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Serapis', 'PERSON', 'holding', 'rudder', 'OBJECT')]",57
"Laureate bust of Gordian III, left, wearing cuirass and paludamentum, holding spear in right hand and shield decorated with eagle on left arm. Border of dots.","[('Gordian III', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Gordian III', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Gordian III', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Gordian III', 'PERSON', 'holding', 'shield', 'OBJECT')]",58
"Nude bearded Heracles advancing right, head left, lion skin over left shoulder, holding club with left hand over left shoulder, drawing out Cerberus on a leash, outcropping behind a rock to left.","[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'Cerberus', 'ANIMAL')]",59
"Nude bearded Heracles advancing right, holding lion skin over left arm, a bow in left hand and club in raised right hand, a quiver at his back; to right, scallop shell. Ground line. All within a shallow incuse square.","[('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT')]",60
"Head of (youthful) Heracles, right, wearing lion skin.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",61
"Head of bearded Heracles, right, wearing lion skin.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",62
"Head of bearded Heracles, right, wearing lion skin. Border of dots.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",63
"Head of Heracles, right, wearing lion skin, knotted around neck.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",64
"Head of Heracles, right, wearing lion skin; within incuse square.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",65
"Head of Heracles, right, wearing lion skin.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",66
"Nude bearded Heracles standing left, lion skin draped over back, pushing the already lying Cerynean hind with his right knee at its back and grasping it by the antlers; in exergue, club, left.",[],67
"Nude Heracles standing right, pushing Cerynean hind with his right knee at its back and grasping it by the antlers. Border of dots.",[],68
"Nude Heracles standing right, wearing lion skin, pushing Cerynean hind with his right knee at its back and grasping it by the antlers. Ground line. Border of dots.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",69
"Nude Heracles advancing right, lion skin over left arm, grasping with right hand the horns of the uprising Cretan Bull, strangling it with left arm.","[('Heracles', 'PERSON', 'grasping', 'Cretan Bull', 'ANIMAL')]",70
"Heracles with Diomedes and horses; in the middle, Heracles standing left, head right, brandishing club in raised right hand and grasping Diomedes, fallen on his knees to right, by the head with left hand; to left, horse running right, below, wheel; to right, three horses to right, lowest one fallen, upper one pouncing right.","[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'grasping', 'Diomedes', 'PERSON')]",71
"Nude Heracles standing facing, head right, holding club in right hand and lion skin over his left arm; at right, serpent (Ladon) coiling around apple tree of the Hesperides.","[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('serpent', 'ANIMAL', 'coiling', 'apple tree', 'PLANT')]",72
"Nude bearded Heracles standing facing, head right, holding club in right hand, lion skin over left arm and apples of the Hesperides in left hand; at right, serpent (Ladon) coiling around tree, at right, Hesperide standing facing, head left.","[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'apples', 'PLANT'), ('serpent', 'ANIMAL', 'coiling', 'tree', 'PLANT')]",73
"Heracles standing right, lion skin over left arm, holding club overhead in raised right hand and grasping with left hand Hippolyte by her hair, seated right, head left, on horse collapsing right; Hippolyte tries to ward off his left hand with her right and holds her shield in her raised left; in exergue, fallen double ax, left.","[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'grasping', 'Hippolyte', 'PERSON'), ('Hippolyte', 'PERSON', 'holding', 'shield', 'OBJECT')]",74
"Heracles standing left, wearing lion skin, grasping Hydra coiling around his right leg with left hand, about to strike with club in right hand over her head.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'grasping', 'Hydra', 'ANIMAL'), ('Hydra', 'ANIMAL', 'coiling', 'Heracles', 'PERSON')]",75
"Nude Heracles standing left, strangling in both hands the attacking Nemean lion to right, head left.","[('Heracles', 'PERSON', 'grasping', 'Nemean lion', 'ANIMAL')]",76
"Nude Heracles youthful standing right, strangling in both hands the attacking Nemean lion to left.","[('Heracles', 'PERSON', 'grasping', 'Nemean lion', 'ANIMAL')]",77
"Nude Heracles seated left on rock, head and torso facing, rock covered with a lion skin, holding club in his right hand that rests on his right knee and resting his left elbow on his thigh, traces of drapery on right thigh; all within a shallow incuse square.","[('Heracles', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('rock', 'OBJECT', 'wearing', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'knee', 'OBJECT')]",78
"Nude Heracles seated left on rock covered with lion skin, extending right hand, resting left arm on rock; between his legs, club.","[('Heracles', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('rock', 'OBJECT', 'wearing', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT')]",79
"Nude Heracles seated left on rock covered with lion skin, resting right arm on club, resting left arm on rock.","[('Heracles', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('rock', 'OBJECT', 'wearing', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT')]",80
"Nude Heracles (Farnese) standing left, leaning on club with right hand set on rock, left hand on hip; lion skin over club.","[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT')]",81
"Nude Heracles standing facing, head left, resting right hand on club, left hand on hip, holding lion skin in left arm.","[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT')]",82
"Nude Heracles standing facing, head left, resting right hand on club, holding lion skin in left arm.","[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT')]",83
"Heracles advancing left, holding transverse lit torch in outstretched right hand and club and lion skin in left arm; in background, column with statue of standing female figure holding staff; two small Erotes, first at base of column, right, second at Heracles' left leg, left.","[('Heracles', 'PERSON', 'holding', 'torch', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('statue', 'OBJECT', 'holding', 'staff', 'OBJECT')]",84
"Nude bearded Heracles standing right, right arm behind back, left arm holding lion skin and resting on club set on rock. Border of dots.","[('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('club', 'OBJECT', 'resting_on', 'rock', 'OBJECT')]",85
"Nude Heracles standing right, resting right hand on club, holding lion skin in left arm.","[('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT')]",86
"Nude Heracles standing right, resting right arm on club, holding lion skin and bow in left arm. Ground line.","[('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'bow', 'OBJECT')]",87
"Nude bearded Heracles standing facing, crowning himself with right hand, holding club and lion skin in left; at left, tree on which hang bow and quiver; lighted and garlanded altar to right.","[('Heracles', 'PERSON', 'crowning', 'Heracles', 'PERSON'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT')]",88
"Nude bearded Heracles standing facing, head left, resting right hand on club set on ground, holding lion skin in left arm. Ground line. Border of dots.","[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT')]",89
"Head of Hermes, left, wearing petasus with laurel wreath.","[('Hermes', 'PERSON', 'wearing', 'petasus', 'OBJECT')]",90
"Ityphallic Hermes (Imbramos) standing right, holding patera over thymiaterion and branch in left hand behind him.","[('Hermes', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Hermes', 'PERSON', 'holding', 'branch', 'OBJECT')]",91
"Demeter and Homonoia; inbetween, altar; to left, Demeter standing right, holding ears of corn in left hand, at her feet, cista mystica; to right, Homonoia standing left, wearing kalathos, holding patera and cornucopia.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Homonoia', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT')]",92
"Hygieia and Asclepius; to left, Hygieia standing right, feeding serpent held in right arm from patera in outstretched left hand; to right, Asclepius standing facing, head left, resting right hand on serpent staff in right hand.","[('Hygieia', 'PERSON', 'feeding', 'serpent', 'ANIMAL'), ('Asclepius', 'PERSON', 'resting_on', 'serpent staff', 'OBJECT')]",93
"Hygieia standing right, feeding serpent held in right arm from patera in outstretched left hand. Ground line.","[('Hygieia', 'PERSON', 'feeding', 'serpent', 'ANIMAL')]",94
"Hygieia standing right, feeding serpent held in right arm from patera in outstretched left hand.","[('Hygieia', 'PERSON', 'feeding', 'serpent', 'ANIMAL')]",95
"Hygieia standing right, feeding serpent held in right arm from patera in outstretched left hand. Border of dots.","[('Hygieia', 'PERSON', 'feeding', 'serpent', 'ANIMAL')]",96
"Banquet scene; male figure reclining left on kline and placing his right hand on the left arm of a female figure seated to right on the left edge of the kline which has ornated legs to left and a three-legged table under it to right; in the left background, man standing facing, head right, in short chiton placing his right hand on amphora to left; in the right background, forepart of horse advancing left.","[('figure', 'PERSON', 'resting_on', 'kline', 'OBJECT'), ('figure', 'PERSON', 'seated_on', 'kline', 'OBJECT')]",97
"Banquet scene; to right, male figure reclining left on kline and placing his right hand on the left shoulder of female figure seated to right on the left edge of the kline which has ornated legs to left and a three-legged table under it to right; in the background, to left, a tree, upon which hangs a cuirass and beneath which a man stands facing, head right, in short chiton, placing his right hand on amphora to left; in the background, to right, forepart of horse advancing left, lifting left hoof; in upper central field, shield.","[('figure', 'PERSON', 'resting_on', 'kline', 'OBJECT'), ('figure', 'PERSON', 'seated_on', 'kline', 'OBJECT')]",98
"Banquet scene; male figure reclining left on kline, placing his right hand on the left shoulder of a female figure seated to right on the left edge of the kline, which has a three-legged table under it to right and two ornated legs to left, right leg with a twisted band around; in the left background, a tree upon which hangs a cuirass and beneath which man stands facing, head right, in short chiton placing his right hand on amphora to left; in the right background, forepart of a horse advancing left, lifting left hoof; in upper central field, shield.","[('figure', 'PERSON', 'resting_on', 'kline', 'OBJECT'), ('figure', 'PERSON', 'seated_on', 'kline', 'OBJECT')]",99
"Winged Nemesis standing facing, head left, plucking chiton with right hand at right shoulder, holding cubit-rule in left arm; at her feet, griffin seated left, head right.","[('Nemesis', 'PERSON', 'grasping', 'chiton', 'OBJECT'), ('Nemesis', 'PERSON', 'holding', 'cubit-rule', 'OBJECT')]",100
"Winged Nike advancing left, holding wreath in outstretched right hand and palm branch in left arm. Ground line. Border of dots.","[('Nemesis', 'PERSON', 'holding', 'wreath', 'OBJECT'), ('Nemesis', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",101
"Nike driving galopping biga, left, holding palm branch in left hand and reigns in both.","[('Nike', 'PERSON', 'standing', 'biga', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",102
"Nike standing right in biga, holding palm branch in left hand and reigns in both hands.","[('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",103
"Emperor (Severus Alexander) in military attire standing facing, head right, wearing cuirass and boots, resting right hand on sceptre, holding parazonium in left arm; to right, Nike standing left, crowning emperor with laurel wreath in outstretched right arm, holding palm branch in left arm. Ground line. Border of dots.","[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Severus Alexander', 'PERSON', 'resting_on', 'sceptre', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'parazonium', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",104
