id,design_en,annotations
14857,Cupid riding dolphin right,"[(0, 5, 'PERSON'), (13, 20, 'ANIMAL')]"
5612,"Head of Artemis, right, wearing stephane.","[(0, 4, 'OBJECT'), (8, 15, 'PERSON'), (32, 40, 'OBJECT')]"
13050,"Bust of Roma, visored with crested helmet, wearing ornamental mantle, right","[(0, 4, 'OBJECT'), (8, 12, 'PERSON'), (35, 41, 'OBJECT')]"
14585,"Constantinopolis, turreted, head right, seated facing, on throne, holding sceptre in right hand and resting left on knee","[(0, 16, 'PERSON'), (28, 32, 'OBJECT'), (58, 64, 'OBJECT'), (74, 81, 'OBJECT'), (116, 120, 'OBJECT')]"
11455,"Bust of Constantius II, laureate, rosette-diademed, draped, cuirassed, right; A behind bust","[(0, 4, 'OBJECT'), (8, 22, 'PERSON'), (34, 41, 'OBJECT'), (87, 91, 'OBJECT')]"
11261,"Bust of Constantine I, laureate, helmeted, cuirassed, right, holding spear over right shoulder and shield on left arm","[(0, 4, 'OBJECT'), (8, 21, 'PERSON'), (69, 74, 'OBJECT'), (99, 105, 'OBJECT')]"
14446,"Constantine I, draped, standing front, presenting globe to one of his sons turning right; on other side, the other Caesar","[(0, 13, 'PERSON'), (50, 55, 'OBJECT')]"
14083,"Commodus, standing in triumphal quadriga moving left, holding eagle-tipped sceptre and being crowned by Victory; in field, star","[(0, 8, 'PERSON'), (32, 40, 'OBJECT'), (62, 67, 'ANIMAL'), (75, 82, 'OBJECT'), (104, 111, 'PERSON'), (123, 127, 'OBJECT')]"
10741,"Britannia (?), draped, standing left by altar, holding sceptre","[(0, 9, 'PERSON'), (40, 45, 'OBJECT'), (55, 62, 'OBJECT')]"
15975,"Fortuna standing left, holding rudder attached to prow in right hand and cornucopiae in left","[(0, 7, 'PERSON'), (31, 37, 'OBJECT'), (50, 54, 'OBJECT'), (73, 84, 'OBJECT')]"
10176,"Africa, wearing elephant-skin head-dress, draped, standing front, head left, holding standard in right hand and tusk in left hand; to left, lion with captured bull","[(0, 6, 'PERSON'), (16, 24, 'ANIMAL'), (30, 34, 'OBJECT'), (66, 70, 'OBJECT'), (85, 93, 'OBJECT'), (140, 144, 'ANIMAL'), (159, 163, 'ANIMAL')]"
1535,"Upright club, oak wreath around bound at bottom.","[(8, 12, 'OBJECT'), (14, 24, 'OBJECT')]"
8476,Head of Kore right with hair gathered at nape and oak wreath. Border of dots.,"[(0, 4, 'OBJECT'), (8, 12, 'PERSON'), (50, 60, 'OBJECT')]"
1359,"Bunch of grapes on vine branch; above, two leaves.","[(9, 15, 'PLANT'), (19, 23, 'PLANT'), (24, 30, 'OBJECT'), (43, 49, 'PLANT')]"
17802,"Jugate busts of Maximian, radiate, cuirassed, left, and bust of Diocletian, sometimes radiate, cuirassed, left, and bust of Carausius, sometimes radiate, cuirassed, left, sometimes raising right hands","[(7, 12, 'OBJECT'), (16, 24, 'PERSON'), (26, 33, 'OBJECT'), (56, 60, 'OBJECT'), (64, 74, 'PERSON'), (86, 93, 'OBJECT'), (116, 120, 'OBJECT'), (124, 133, 'PERSON'), (145, 152, 'OBJECT')]"
15788,"Female figure,, draped, seated right, holding branch in left hand and leaning right on sceptre","[(0, 6, 'PERSON'), (7, 13, 'PERSON'), (46, 52, 'OBJECT'), (87, 94, 'OBJECT')]"
7444,"Agonistic table, surmounted by prize crown with two palm branches; below, amphora with two palm branches.","[(10, 15, 'OBJECT'), (31, 42, 'OBJECT'), (52, 65, 'OBJECT'), (74, 81, 'OBJECT'), (52, 65, 'OBJECT')]"
10151,"Aeternitas, draped, veiled, standing front, head left, holding out head of Sun in right hand and head of Moon in left","[(44, 48, 'OBJECT'), (67, 71, 'OBJECT'), (75, 78, 'PERSON'), (97, 101, 'OBJECT'), (105, 109, 'PERSON')]"
2376,"Griffin seated left, right forepaw slightly raised, with feathered wings, tail under hindlegs and closed beak; below right forepaw, monogram.","[(0, 7, 'ANIMAL')]"
2365,Grain ear with leaves standing upright; in slightly incused field.,"[(0, 9, 'PLANT'), (15, 21, 'PLANT')]"
18093,"Jupiter, nude to waist, seated left, holding Victory in right hand and spear in left hand","[(0, 7, 'PERSON'), (45, 52, 'PERSON'), (71, 76, 'OBJECT')]"
14333,"Constans, draped, cuirassed, standing left, holding standard with Chi-Rho on banner in right hand and sceptre in left hand; to right, Victory standing, crowning him with wreath and holding palm","[(0, 8, 'PERSON'), (52, 60, 'OBJECT'), (66, 73, 'OBJECT'), (77, 83, 'OBJECT'), (102, 109, 'OBJECT'), (134, 141, 'PERSON'), (170, 176, 'OBJECT'), (189, 193, 'PLANT')]"
17071,"Head of Gallienus, radiate, draped, right","[(0, 4, 'OBJECT'), (8, 17, 'PERSON'), (19, 26, 'OBJECT')]"
14687,"Constantius II, draped, cuirassed, standing front, head left, holding globe in right hand and down-turned spear in left hand; on left, Victory advancing left, head right, holding wreath in right hand and palm in left hand","[(0, 14, 'PERSON'), (51, 55, 'OBJECT'), (70, 75, 'OBJECT'), (106, 111, 'OBJECT'), (135, 142, 'PERSON'), (159, 163, 'OBJECT'), (179, 185, 'OBJECT'), (204, 208, 'PLANT')]"
23179,"Venus, diademed, draped, seated left on low seat, holding group of the Three Graces in extended right hand and sceptre in left hand","[(0, 5, 'PERSON'), (111, 118, 'OBJECT')]"
3352,"Head of Dionysus, right, wearing ivy wreath; quiver behind.","[(0, 4, 'OBJECT'), (8, 16, 'PERSON'), (33, 43, 'OBJECT'), (45, 51, 'OBJECT')]"
14526,"Constantine II, draped, cuirassed, standing right, holding transverse spear in right hand and globe in left hand; on either side, captive","[(0, 14, 'PERSON'), (70, 75, 'OBJECT'), (94, 99, 'OBJECT')]"
354,"Veiled Demeter standing facing, head left, holding ears of corn in raised right hand over altar, left resting on long torch.","[(7, 14, 'PERSON'), (32, 36, 'OBJECT'), (51, 63, 'PLANT'), (90, 95, 'OBJECT'), (118, 123, 'OBJECT')]"
21535,"Securitas, draped, standing left, legs crossed, leaning on column, holding sceptre","[(59, 65, 'OBJECT'), (75, 82, 'OBJECT')]"
21838,"Sol, chlamys hanging behind (sometimes flying out), standing right, raising right hand and holding up globe in left hand","[(0, 3, 'PERSON'), (5, 12, 'OBJECT'), (102, 107, 'OBJECT')]"
13691,"Caracalla, in military attire, standing left, holding Victory on globe in extended right hand and reversed spear in left hand; at feet, seated captive","[(0, 9, 'PERSON'), (14, 29, 'OBJECT'), (54, 61, 'PERSON'), (65, 70, 'OBJECT'), (107, 112, 'OBJECT')]"
7091,"Emperor (Caracalla) in military attire standing left, holding patera and spear.","[(0, 7, 'PERSON'), (9, 18, 'PERSON'), (23, 38, 'OBJECT'), (62, 68, 'OBJECT'), (73, 78, 'OBJECT')]"
21096,"Roma, seated left, holding sceptre and presenting Victory to Probus, standing right; behind him, soldier, standing right, holding ensign; in background, ensign","[(0, 4, 'PERSON'), (27, 34, 'OBJECT'), (50, 57, 'PERSON'), (61, 67, 'PERSON'), (130, 136, 'OBJECT'), (153, 159, 'OBJECT')]"
21909,"Sol, radiate, draped, standing left, raising right hand and holding Victory on globe in left hand","[(0, 3, 'PERSON'), (5, 12, 'OBJECT'), (68, 75, 'PERSON'), (79, 84, 'OBJECT')]"
15622,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae at shoulder in left","[(42, 50, 'OBJECT'), (69, 80, 'OBJECT')]"
13257,"Bust of Titus, laureate, right wearing cuirass with aegis","[(0, 4, 'OBJECT'), (8, 13, 'PERSON'), (39, 46, 'OBJECT'), (52, 57, 'OBJECT')]"
12099,"Bust of Hadrian, laureate, draped, left, viewed from front","[(0, 4, 'OBJECT'), (8, 15, 'PERSON')]"
13609,"Capricorn, right; above, star","[(0, 9, 'OBJECT'), (25, 29, 'OBJECT')]"
12466,"Bust of Mars, helmeted, bearded, draped, right","[(0, 4, 'OBJECT'), (8, 12, 'PERSON')]"
18235,"Jupiter, standing on cippus inscribed IOVI VICTORI, holding Victory in right hand and sceptre in left hand","[(0, 7, 'PERSON'), (21, 27, 'OBJECT'), (60, 67, 'PERSON'), (86, 93, 'OBJECT')]"
23834,"Victory, winged, draped, advancing right, holding wreath in right hand and palm in left hand","[(0, 7, 'PERSON'), (50, 56, 'OBJECT'), (75, 79, 'PLANT')]"
14897,"Dacian seated left on a pile of arms in an attitude of mourning; round him, left and right, various arms","[(0, 6, 'PERSON')]"
19492,"Minerva, helmeted, draped, standing left, resting right hand on shield and left hand at side","[(0, 7, 'PERSON'), (64, 70, 'OBJECT')]"
253,"Laureate bust of Caracalla, right, wearing cuirass and paludamentum. Border of dots.","[(9, 13, 'OBJECT'), (17, 26, 'PERSON'), (43, 50, 'OBJECT'), (55, 67, 'OBJECT')]"
16212,"Galba, in military dress, riding right, levelling javelin with right hand","[(50, 57, 'OBJECT')]"
23801,"Victory, winged, draped, advancing left, holding wreath in right hand and trophy in left hand; on either side, seated captive","[(0, 7, 'PERSON'), (49, 55, 'OBJECT'), (74, 80, 'OBJECT')]"
18036,"Jupiter, naked to waist with cloak, seated left, holding thunderbolt in right hand, and sceptre in left","[(0, 7, 'PERSON'), (29, 34, 'OBJECT'), (57, 68, 'OBJECT'), (88, 95, 'OBJECT')]"
11100,"Bust of Claudius Gothicus, helmeted, cuirassed, left","[(0, 4, 'OBJECT'), (8, 25, 'PERSON')]"
11497,"Bust of Constantius III, rosette-diademed, draped, cuirassed, right","[(0, 4, 'OBJECT'), (25, 32, 'OBJECT')]"
21286,"Salus, draped, standing left, feeding out of patera in right hand snake coiled round altar and holding rudder, transverse, in left hand","[(45, 51, 'OBJECT'), (66, 71, 'ANIMAL'), (85, 90, 'OBJECT'), (103, 109, 'OBJECT')]"
17379,"Hercules, in lion-skin, holding branch in right hand and club in left hand","[(0, 8, 'PERSON'), (13, 17, 'ANIMAL'), (32, 38, 'OBJECT'), (57, 61, 'OBJECT')]"
2998,Ethnic within pelta.,"[(14, 19, 'OBJECT')]"
13519,"Busts of Vitellius' son and daughter, left and right respectively, draped, confronting","[(0, 5, 'OBJECT'), (9, 18, 'PERSON')]"
17338,Heads of Faustina and Commodus facing each other,"[(0, 5, 'OBJECT'), (22, 30, 'PERSON')]"
21959,"Sol, radiate, nude, standing left, raising right hand and holding whip in left hand","[(0, 3, 'PERSON'), (5, 12, 'OBJECT'), (66, 70, 'OBJECT')]"
16799,"Hand left, holding pair of scales, PNR below","[(27, 33, 'OBJECT')]"
24483,"Virtus, standing right, holding parazonium and spear","[(0, 6, 'PERSON'), (32, 42, 'OBJECT'), (47, 52, 'OBJECT')]"
13151,"Bust of Sol, radiate, left, and of Constantine I, laureate, draped, cuirassed, left, raising right hand and holding globe in left hand","[(0, 4, 'OBJECT'), (8, 11, 'PERSON'), (13, 20, 'OBJECT'), (35, 48, 'PERSON'), (116, 121, 'OBJECT')]"
19217,"Mars, standing right by horse, holding spear in right hand","[(0, 4, 'PERSON'), (24, 29, 'ANIMAL'), (39, 44, 'OBJECT')]"
24608,X • X within a laurel wreath,"[(15, 28, 'OBJECT')]"
13757,"Carausius, draped, cuirassed, standing left, holding spear in right hand and crowning trophy between two captives","[(0, 9, 'PERSON'), (53, 58, 'OBJECT'), (86, 92, 'OBJECT')]"
7787,"Confronted busts of Severus Alexander laureate, wearing cuirass and paludamentum, and of Julia Maesa, diademed and draped.","[(11, 16, 'OBJECT'), (20, 37, 'PERSON'), (56, 63, 'OBJECT'), (68, 80, 'OBJECT'), (89, 100, 'PERSON')]"
23992,"Victory, winged, draped, seated right on cuirass with shield beside, inscribing shield VOT/XX; before her, trophy and captive","[(0, 7, 'PERSON'), (41, 48, 'OBJECT'), (54, 60, 'OBJECT'), (80, 86, 'OBJECT'), (107, 113, 'OBJECT')]"
12396,"Bust of Majorian, helmeted, rosette-diademed with flammiform jewel, draped, cuirassed, right, holding spear pointing forward in right hand and shield decorated with Chi-Rho on left arm","[(0, 4, 'OBJECT'), (8, 16, 'PERSON'), (28, 35, 'OBJECT'), (102, 107, 'OBJECT'), (143, 149, 'OBJECT'), (165, 172, 'OBJECT')]"
7159,"Nemesis standing left, right finger at her mouth, holding rein; at her feet, wheel.","[(0, 7, 'PERSON'), (58, 62, 'OBJECT'), (77, 82, 'OBJECT')]"
15599,"Felicitas, draped, standing front, head right, holding long caduceus, vertical, in right hand and corn-ears in fold of robe in left","[(35, 39, 'OBJECT'), (60, 68, 'OBJECT'), (98, 102, 'PLANT'), (103, 107, 'PLANT'), (119, 123, 'OBJECT')]"
10078,"Aequitas, draped, standing left, holding scales downward in extended right hand and long vertical rod(pertica) in left","[(0, 8, 'PERSON'), (41, 47, 'OBJECT')]"
16022,"Fortuna, draped, seated left, holding horse by bridle in right hand and corncucopiae in left; behind seat, rudder","[(0, 7, 'PERSON'), (38, 43, 'ANIMAL'), (47, 53, 'OBJECT'), (107, 113, 'OBJECT')]"
8094,"Veiled head of Berenice II. (?), right, wreathed with grain.","[(7, 11, 'OBJECT'), (54, 59, 'PLANT')]"
15965,Fortuna standing left,"[(0, 7, 'PERSON')]"
6076,"Jugate heads of Demeter, veiled and wearing wreath and of Kore, wearing wreath, right; behind, poppy between two ears of corn (?).","[(7, 12, 'OBJECT'), (16, 23, 'PERSON'), (44, 50, 'OBJECT'), (58, 62, 'PERSON'), (72, 78, 'OBJECT'), (95, 100, 'PLANT'), (113, 125, 'PLANT')]"
14103,"Commodus, togate, standing right and clasping right hands with senator, standing left; both hold sceptres in left hands","[(0, 8, 'PERSON'), (63, 70, 'PERSON'), (97, 105, 'OBJECT')]"
5094,Serpent coiling around omphalos.,"[(0, 7, 'ANIMAL'), (23, 31, 'OBJECT')]"
17907,"Juno, standing left, holding patera in right hand and sceptre in left hand; to left, peacock","[(0, 4, 'PERSON'), (29, 35, 'OBJECT'), (54, 61, 'OBJECT'), (85, 92, 'ANIMAL')]"
18209,"Jupiter, standing left, holding thunderbolt and sceptre","[(0, 7, 'PERSON'), (32, 43, 'OBJECT'), (48, 55, 'OBJECT')]"
24422,"Virtus, helmeted, draped, standing left, holding spear in right hand and parazonium in left hand","[(0, 6, 'PERSON'), (49, 54, 'OBJECT'), (73, 83, 'OBJECT')]"
7031,Dog seated left.,"[(0, 3, 'ANIMAL')]"
5460,"Head of a goddess, right, wearing crossed band, hair bun at the nape of the head.","[(0, 4, 'OBJECT'), (42, 46, 'OBJECT'), (76, 80, 'OBJECT')]"
3471,"Turreted city-goddess enthroned left, holding cornucopia in right hand, left resting on sceptre.","[(46, 56, 'OBJECT'), (88, 95, 'OBJECT')]"
20432,"Providentia, draped, standing left, holding both hands above head to large star","[(61, 65, 'OBJECT'), (75, 79, 'OBJECT')]"
15982,"Fortuna standing right, holding rudder on globe and cornucopia; facing her, Spes advancing left, holding flower and robe","[(0, 7, 'PERSON'), (32, 38, 'OBJECT'), (42, 47, 'OBJECT'), (52, 62, 'OBJECT'), (76, 80, 'PERSON'), (105, 111, 'PLANT'), (116, 120, 'OBJECT')]"
16954,"Head of Constantine II, rosette-diademed, right","[(0, 4, 'OBJECT'), (8, 22, 'PERSON'), (24, 31, 'OBJECT')]"
24652,"Zeno, draped, cuirassed, standing front, holding standard in right hand and cross on globe in left hand","[(0, 4, 'PERSON'), (49, 57, 'OBJECT'), (76, 81, 'OBJECT'), (85, 90, 'OBJECT')]"
